----------------------------------------------
|             ListStackInstances             |
+--------------+----------------+------------+
|  004165097941|  eu-central-1  |  CURRENT   |
|  004165097941|  eu-west-1     |  CURRENT   |
|  004165097941|  us-east-1     |  CURRENT   |
|  004642588629|  eu-central-1  |  CURRENT   |
|  004642588629|  eu-west-1     |  CURRENT   |
|  004642588629|  us-east-1     |  CURRENT   |
|  025523568662|  eu-central-1  |  CURRENT   |
|  025523568662|  eu-west-1     |  CURRENT   |
|  025523568662|  us-east-1     |  CURRENT   |
|  034926093113|  eu-central-1  |  CURRENT   |
|  034926093113|  eu-west-1     |  CURRENT   |
|  034926093113|  us-east-1     |  CURRENT   |
|  038462765553|  eu-central-1  |  CURRENT   |
|  038462765553|  eu-west-1     |  CURRENT   |
|  038462765553|  us-east-1     |  CURRENT   |
|  039612855997|  eu-central-1  |  CURRENT   |
|  039612855997|  eu-west-1     |  CURRENT   |
|  039612855997|  us-east-1     |  CURRENT   |
|  047719661196|  eu-central-1  |  CURRENT   |
|  047719661196|  eu-west-1     |  CURRENT   |
|  047719661196|  us-east-1     |  CURRENT   |
|  049618907165|  eu-central-1  |  CURRENT   |
|  049618907165|  eu-west-1     |  CURRENT   |
|  049618907165|  us-east-1     |  CURRENT   |
|  050451375647|  eu-central-1  |  CURRENT   |
|  050451375647|  eu-west-1     |  CURRENT   |
|  050451375647|  us-east-1     |  CURRENT   |
|  054367266266|  eu-central-1  |  CURRENT   |
|  054367266266|  eu-west-1     |  CURRENT   |
|  054367266266|  us-east-1     |  CURRENT   |
|  061051226504|  eu-central-1  |  CURRENT   |
|  061051226504|  eu-west-1     |  CURRENT   |
|  061051226504|  us-east-1     |  CURRENT   |
|  084129280516|  eu-central-1  |  CURRENT   |
|  084129280516|  eu-west-1     |  CURRENT   |
|  084129280516|  us-east-1     |  CURRENT   |
|  107737161507|  eu-central-1  |  CURRENT   |
|  107737161507|  eu-west-1     |  CURRENT   |
|  107737161507|  us-east-1     |  CURRENT   |
|  120569613427|  eu-central-1  |  CURRENT   |
|  120569613427|  eu-west-1     |  CURRENT   |
|  120569613427|  us-east-1     |  CURRENT   |
|  122610498016|  eu-central-1  |  CURRENT   |
|  122610498016|  eu-west-1     |  CURRENT   |
|  122610498016|  us-east-1     |  CURRENT   |
|  124355645722|  eu-central-1  |  CURRENT   |
|  124355645722|  eu-west-1     |  CURRENT   |
|  124355645722|  us-east-1     |  CURRENT   |
|  124355655853|  eu-central-1  |  CURRENT   |
|  124355655853|  eu-west-1     |  CURRENT   |
|  124355655853|  us-east-1     |  CURRENT   |
|  143320676204|  eu-central-1  |  CURRENT   |
|  143320676204|  eu-west-1     |  CURRENT   |
|  143320676204|  us-east-1     |  CURRENT   |
|  145023116067|  eu-central-1  |  CURRENT   |
|  145023116067|  eu-west-1     |  CURRENT   |
|  145023116067|  us-east-1     |  CURRENT   |
|  149536452878|  eu-central-1  |  CURRENT   |
|  149536452878|  eu-west-1     |  CURRENT   |
|  149536452878|  us-east-1     |  CURRENT   |
|  149536482038|  eu-central-1  |  CURRENT   |
|  149536482038|  eu-west-1     |  CURRENT   |
|  149536482038|  us-east-1     |  CURRENT   |
|  161845748920|  eu-central-1  |  CURRENT   |
|  161845748920|  eu-west-1     |  CURRENT   |
|  161845748920|  us-east-1     |  CURRENT   |
|  167305888200|  eu-central-1  |  CURRENT   |
|  167305888200|  eu-west-1     |  CURRENT   |
|  167305888200|  us-east-1     |  CURRENT   |
|  180294222815|  eu-central-1  |  CURRENT   |
|  180294222815|  eu-west-1     |  CURRENT   |
|  180294222815|  us-east-1     |  CURRENT   |
|  182399707265|  eu-central-1  |  CURRENT   |
|  182399707265|  eu-west-1     |  CURRENT   |
|  182399707265|  us-east-1     |  CURRENT   |
|  183631301567|  eu-central-1  |  CURRENT   |
|  183631301567|  eu-west-1     |  CURRENT   |
|  183631301567|  us-east-1     |  CURRENT   |
|  183631328645|  eu-central-1  |  CURRENT   |
|  183631328645|  eu-west-1     |  CURRENT   |
